년/월/일,총수익지수,전일대비,순가격지수,전일대비,시장가격지수,전일대비
"2014/12/30","12,873.95","10.49","10,576.33","6.23","10,476.91","8.54"
"2014/12/29","12,863.45","9.19","10,570.11","6.77","10,468.37","7.48"
"2014/12/26","12,854.26","-3.19","10,563.34","-5.07","10,460.89","-2.60"
"2014/12/24","12,857.45","9.52","10,568.40","6.23","10,463.49","7.75"
"2014/12/23","12,847.93","1.18","10,562.17","0.16","10,455.74","0.96"
"2014/12/22","12,846.75","10.61","10,562.01","7.94","10,454.78","8.64"
"2014/12/19","12,836.14","8.02","10,554.06","4.19","10,446.14","6.53"
"2014/12/18","12,828.12","-6.27","10,549.88","-5.98","10,439.62","-5.10"
"2014/12/17","12,834.39","-13.59","10,555.86","-12.02","10,444.72","-11.06"
"2014/12/16","12,847.98","4.02","10,567.88","2.50","10,455.78","3.27"
"2014/12/15","12,843.96","-2.77","10,565.38","-3.13","10,452.51","-2.26"
"2014/12/12","12,846.73","7.72","10,568.51","3.84","10,454.76","6.28"
"2014/12/11","12,839.01","22.44","10,564.66","17.68","10,448.48","18.27"
"2014/12/10","12,816.57","-5.34","10,546.98","-5.29","10,430.21","-102.17"
"2014/12/09","12,821.91","17.97","10,552.27","14.13","10,532.38","14.76"
"2014/12/08","12,803.94","-22.06","10,538.14","-19.21","10,517.62","-18.12"
"2014/12/05","12,826.00","2.34","10,557.36","-0.57","10,535.74","1.92"
"2014/12/04","12,823.66","-12.16","10,557.93","-10.97","10,533.81","-9.99"
"2014/12/03","12,835.82","-20.76","10,568.89","-18.13","10,543.80","-17.05"
"2014/12/02","12,856.58","-5.38","10,587.02","-5.32","10,560.85","-4.42"
"2014/12/01","12,861.96","-0.18","10,592.34","-0.99","10,565.28","-0.15"
"2014/11/28","12,862.14","17.32","10,593.33","11.90","10,565.42","14.22"
"2014/11/27","12,844.82","-5.53","10,581.43","-5.45","10,551.20","-4.55"
"2014/11/26","12,850.36","4.33","10,586.87","2.77","10,555.74","3.56"
"2014/11/25","12,846.03","11.69","10,584.11","8.89","10,552.19","9.60"
"2014/11/24","12,834.34","13.46","10,575.21","10.37","10,542.59","11.06"
