년/월/일,총수익지수,전일대비,순가격지수,전일대비,시장가격지수,전일대비
"2025/12/30","16,005.19","-1.10","10,395.21","-2.94","10,297.79","-0.71"
"2025/12/29","16,006.30","8.27","10,398.15","4.65","10,298.50","5.32"
"2025/12/26","15,998.03","-3.42","10,393.50","-4.45","10,293.18","-2.20"
"2025/12/24","16,001.45","5.28","10,397.95","1.97","10,295.38","3.40"
"2025/12/23","15,996.17","7.43","10,395.98","4.11","10,291.98","4.78"
"2025/12/22","15,988.73","6.41","10,391.87","3.44","10,287.20","4.12"
"2025/12/19","15,982.33","-23.16","10,388.43","-17.31","10,283.08","-14.90"
"2025/12/18","16,005.48","21.93","10,405.75","13.56","10,297.97","14.11"
"2025/12/17","15,983.55","7.09","10,392.19","3.88","10,283.86","4.56"
"2025/12/16","15,976.46","2.47","10,388.31","0.87","10,279.30","1.59"
"2025/12/15","15,973.99","46.74","10,387.44","29.73","10,277.71","30.07"
"2025/12/12","15,927.25","8.39","10,357.71","3.22","10,247.64","5.40"
"2025/12/11","15,918.86","-3.03","10,354.49","-2.72","10,242.24","-1.94"
"2025/12/10","15,921.89","-12.75","10,357.21","-9.14","10,244.19","-97.10"
"2025/12/09","15,934.65","-19.19","10,366.34","-13.37","10,341.28","-12.46"
"2025/12/08","15,953.84","-22.36","10,379.71","-15.45","10,353.74","-14.51"
"2025/12/05","15,976.19","20.88","10,395.16","11.49","10,368.25","13.55"
"2025/12/04","15,955.31","13.40","10,383.67","8.06","10,354.69","8.69"
"2025/12/03","15,941.92","-12.82","10,375.60","-9.17","10,346.00","-8.32"
"2025/12/02","15,954.73","10.25","10,384.78","5.99","10,354.32","6.65"
"2025/12/01","15,944.48","-23.94","10,378.79","-16.49","10,347.67","-15.54"
"2025/11/28","15,968.43","17.22","10,395.28","9.09","10,363.21","11.18"
"2025/11/27","15,951.21","-51.97","10,386.19","-34.92","10,352.03","-33.73"
"2025/11/26","16,003.17","5.73","10,421.12","3.02","10,385.76","3.72"
"2025/11/25","15,997.45","1.29","10,418.10","0.10","10,382.04","0.83"
"2025/11/24","15,996.16","-11.55","10,418.00","-8.34","10,381.20","-7.50"
"2025/11/21","16,007.71","22.09","10,426.34","12.29","10,388.70","14.34"
"2025/11/20","15,985.62","-19.23","10,414.05","-13.39","10,374.36","-12.48"
"2025/11/19","16,004.85","0.09","10,427.45","-0.68","10,386.84","0.06"
"2025/11/18","16,004.76","20.90","10,428.13","13.00","10,386.78","13.56"
"2025/11/17","15,983.86","21.43","10,415.13","13.35","10,373.22","13.91"
"2025/11/14","15,962.43","-13.13","10,401.79","-10.87","10,359.31","-8.52"
"2025/11/13","15,975.56","-7.05","10,412.66","-5.38","10,367.83","-4.57"
"2025/11/12","15,982.60","-37.70","10,418.04","-25.54","10,372.41","-24.46"
"2025/11/11","16,020.30","21.98","10,443.58","13.71","10,396.87","14.27"
"2025/11/10","15,998.32","8.94","10,429.87","5.14","10,382.60","5.80"
"2025/11/07","15,989.37","-16.14","10,424.73","-12.86","10,376.80","-10.48"
"2025/11/06","16,005.51","-32.81","10,437.59","-22.32","10,387.27","-21.29"
"2025/11/05","16,038.32","-15.92","10,459.91","-11.22","10,408.57","-10.33"
"2025/11/04","16,054.24","8.59","10,471.13","4.90","10,418.90","5.57"
"2025/11/03","16,045.65","-16.38","10,466.22","-11.52","10,413.32","-10.63"
"2025/10/31","16,062.04","13.45","10,477.75","6.60","10,423.96","8.73"
"2025/10/30","16,048.59","-27.95","10,471.14","-19.13","10,415.23","-18.14"
"2025/10/29","16,076.54","-18.31","10,490.27","-12.79","10,433.37","-11.88"
"2025/10/28","16,094.85","-4.67","10,503.06","-3.82","10,445.25","-3.03"
"2025/10/27","16,099.52","-16.10","10,506.87","-11.33","10,448.28","-10.45"
