년/월/일,총수익지수,전일대비,순가격지수,전일대비,시장가격지수,전일대비
"2026/06/02","15,902.94","11.00","10,216.78","5.69","10,188.77","7.05"
"2026/06/01","15,891.94","-35.11","10,211.09","-23.52","10,181.73","-22.49"
"2026/05/29","15,927.05","29.11","10,234.61","16.72","10,204.22","18.65"
"2026/05/28","15,897.93","-19.27","10,217.88","-13.23","10,185.57","-12.35"
"2026/05/27","15,917.21","-21.40","10,231.12","-14.61","10,197.91","-13.71"
"2026/05/26","15,938.60","29.57","10,245.73","18.47","10,211.62","18.95"
"2026/05/22","15,909.03","22.84","10,227.26","11.93","10,192.68","14.64"
"2026/05/21","15,886.19","1.78","10,215.34","0.43","10,178.04","1.14"
"2026/05/20","15,884.40","-2.26","10,214.91","-2.20","10,176.90","-1.45"
"2026/05/19","15,886.67","6.56","10,217.10","3.53","10,178.35","4.20"
"2026/05/18","15,880.11","2.53","10,213.57","0.92","10,174.14","1.62"
"2026/05/15","15,877.58","-42.59","10,212.65","-29.82","10,172.52","-27.28"
"2026/05/14","15,920.16","-8.20","10,242.47","-6.05","10,199.81","-5.26"
"2026/05/13","15,928.37","15.79","10,248.52","9.52","10,205.06","10.12"
"2026/05/12","15,912.57","-37.90","10,239.00","-25.33","10,194.95","-24.28"
"2026/05/11","15,950.47","-15.69","10,264.32","-10.91","10,219.23","-10.06"
"2026/05/08","15,966.17","0.15","10,275.24","-2.08","10,229.28","0.10"
"2026/05/07","15,966.02","28.70","10,277.32","17.91","10,229.19","18.39"
"2026/05/06","15,937.31","11.10","10,259.41","6.48","10,210.80","7.11"
"2026/05/04","15,926.21","-5.83","10,252.93","-5.24","10,203.68","-3.74"
"2026/04/30","15,932.04","-26.45","10,258.17","-20.07","10,207.42","-16.95"
"2026/04/29","15,958.50","2.76","10,278.24","1.06","10,224.37","1.77"
"2026/04/28","15,955.74","-15.40","10,277.18","-10.73","10,222.60","-9.87"
"2026/04/27","15,971.15","2.59","10,287.91","0.96","10,232.47","1.66"
"2026/04/24","15,968.55","-15.42","10,286.95","-12.19","10,230.81","-9.88"
"2026/04/23","15,983.97","-40.63","10,299.13","-27.10","10,240.69","-26.03"
"2026/04/22","16,024.60","-9.61","10,326.23","-6.96","10,266.72","-6.15"
"2026/04/21","16,034.21","11.72","10,333.20","6.88","10,272.88","7.51"
"2026/04/20","16,022.49","10.49","10,326.31","6.08","10,265.37","6.72"
"2026/04/17","16,012.00","-8.82","10,320.23","-7.90","10,258.65","-5.65"
"2026/04/16","16,020.82","-4.58","10,328.13","-3.70","10,264.30","-2.93"
"2026/04/15","16,025.40","1.99","10,331.83","0.56","10,267.23","1.27"
"2026/04/14","16,023.41","20.12","10,331.27","12.33","10,265.96","12.89"
"2026/04/13","16,003.29","-13.27","10,318.93","-9.34","10,253.07","-8.50"
"2026/04/10","16,016.56","-9.31","10,328.27","-8.22","10,261.57","-5.96"
"2026/04/09","16,025.87","-4.27","10,336.49","-3.50","10,267.53","-2.74"
"2026/04/08","16,030.14","61.66","10,339.99","39.30","10,270.27","39.51"
"2026/04/07","15,968.48","-5.37","10,300.69","-4.21","10,230.76","-3.44"
"2026/04/06","15,973.84","12.81","10,304.90","7.59","10,234.20","8.21"
"2026/04/03","15,961.03","23.34","10,297.31","12.97","10,225.99","14.95"
"2026/04/02","15,937.70","-48.10","10,284.34","-31.95","10,211.04","-30.82"
"2026/04/01","15,985.80","90.90","10,316.29","58.28","10,241.86","58.24"
"2026/03/31","15,894.90","2.60","10,258.01","0.96","10,183.62","1.67"
"2026/03/30","15,892.30","23.67","10,257.04","14.64","10,181.96","15.16"
"2026/03/27","15,868.63","-17.34","10,242.41","-13.43","10,166.79","-11.11"
"2026/03/26","15,885.97","4.57","10,255.84","2.24","10,177.90","2.93"
"2026/03/25","15,881.40","-5.18","10,253.60","-4.09","10,174.97","-3.32"
"2026/03/24","15,886.58","44.84","10,257.69","28.38","10,178.29","28.73"
"2026/03/23","15,841.73","-102.74","10,229.30","-67.41","10,149.56","-65.82"
"2026/03/20","15,944.47","-32.41","10,296.72","-23.22","10,215.38","-20.77"
"2026/03/19","15,976.88","-29.26","10,319.94","-19.72","10,236.15","-18.75"
"2026/03/18","16,006.14","32.12","10,339.65","20.13","10,254.89","20.58"
"2026/03/17","15,974.02","-6.98","10,319.53","-5.26","10,234.31","-4.47"
"2026/03/16","15,981.00","11.48","10,324.79","6.72","10,238.79","7.36"
"2026/03/13","15,969.52","-20.41","10,318.07","-15.46","10,231.43","-13.08"
"2026/03/12","15,989.93","-10.84","10,333.52","-7.77","10,244.51","-6.94"
"2026/03/11","16,000.77","15.55","10,341.30","9.36","10,251.45","9.97"
"2026/03/10","15,985.22","55.67","10,331.93","35.56","10,241.49","-7.63"
"2026/03/09","15,929.55","-74.43","10,296.37","-49.26","10,249.12","-47.89"
"2026/03/06","16,003.98","-11.80","10,345.64","-9.91","10,297.01","-7.59"
"2026/03/05","16,015.78","22.24","10,355.55","13.76","10,304.60","14.31"
"2026/03/04","15,993.54","-19.67","10,341.79","-13.56","10,290.29","-12.66"
"2026/03/03","16,013.21","-64.84","10,355.35","-43.01","10,302.95","-41.72"
"2026/02/27","16,078.05","14.35","10,398.36","6.40","10,344.67","9.23"
"2026/02/26","16,063.70","29.95","10,391.96","18.79","10,335.43","19.27"
"2026/02/25","16,033.75","14.85","10,373.18","8.94","10,316.16","9.55"
"2026/02/24","16,018.91","3.42","10,364.24","1.49","10,306.61","2.20"
"2026/02/23","16,015.49","-4.38","10,362.75","-3.59","10,304.41","-2.82"
"2026/02/20","16,019.87","20.04","10,366.34","10.85","10,307.23","12.89"
"2026/02/19","15,999.83","-10.67","10,355.50","-7.70","10,294.34","-6.87"
"2026/02/13","16,010.50","13.18","10,363.19","4.16","10,301.20","8.48"
"2026/02/12","15,997.32","25.38","10,359.04","15.81","10,292.72","16.33"
"2026/02/11","15,971.94","7.58","10,343.23","4.20","10,276.39","4.87"
"2026/02/10","15,964.37","27.47","10,339.03","17.17","10,271.52","17.68"
"2026/02/09","15,936.89","-1.51","10,321.86","-1.72","10,253.84","-0.97"
"2026/02/06","15,938.40","-7.20","10,323.58","-6.91","10,254.81","-4.63"
"2026/02/05","15,945.60","10.79","10,330.49","6.29","10,259.45","6.94"
"2026/02/04","15,934.81","-15.49","10,324.20","-10.84","10,252.50","-9.96"
"2026/02/03","15,950.30","-16.29","10,335.03","-11.36","10,262.47","-10.48"
"2026/02/02","15,966.59","-4.09","10,346.39","-3.40","10,272.95","-2.63"
"2026/01/30","15,970.68","-13.52","10,349.80","-11.03","10,275.58","-8.70"
"2026/01/29","15,984.19","-15.71","10,360.82","-10.98","10,284.28","-10.11"
"2026/01/28","15,999.91","10.94","10,371.81","6.39","10,294.39","7.04"
"2026/01/27","15,988.97","1.51","10,365.42","0.25","10,287.35","0.97"
"2026/01/26","15,987.46","14.89","10,365.17","8.97","10,286.38","9.58"
"2026/01/23","15,972.56","-10.82","10,356.20","-9.27","10,276.79","-6.96"
"2026/01/22","15,983.38","18.73","10,365.47","11.47","10,283.75","12.05"
"2026/01/21","15,964.66","22.49","10,354.00","13.92","10,271.71","14.47"
"2026/01/20","15,942.17","-24.57","10,340.08","-16.75","10,257.24","-15.81"
"2026/01/19","15,966.73","-23.73","10,356.83","-16.21","10,273.04","-15.27"
"2026/01/16","15,990.46","6.80","10,373.04","2.21","10,288.31","4.37"
"2026/01/15","15,983.67","-33.83","10,370.83","-22.79","10,283.94","-21.77"
"2026/01/14","16,017.50","4.29","10,393.62","2.06","10,305.70","2.76"
"2026/01/13","16,013.21","-10.60","10,391.57","-7.65","10,302.95","-6.82"
"2026/01/12","16,023.81","-0.56","10,399.22","-1.10","10,309.77","-0.36"
"2026/01/09","16,024.37","-9.27","10,400.32","-8.26","10,310.13","-5.96"
"2026/01/08","16,033.64","6.51","10,408.58","3.50","10,316.09","4.19"
"2026/01/07","16,027.13","21.88","10,405.08","13.53","10,311.90","14.08"
"2026/01/06","16,005.25","-3.67","10,391.55","-3.13","10,297.82","-2.36"
"2026/01/05","16,008.92","-2.48","10,394.69","-2.35","10,300.19","-1.59"
"2026/01/02","16,011.40","6.21","10,397.04","1.83","10,301.78","3.99"
