년/월/일,총수익지수,전일대비,순가격지수,전일대비,시장가격지수,전일대비
"2010/12/30","10,857.12","0.42","10,124.87","-4.04","10,019.39","0.38"
"2010/12/29","10,856.70","2.91","10,128.91","1.63","10,019.01","2.69"
"2010/12/28","10,853.79","-5.83","10,127.28","-6.58","10,016.32","-5.38"
"2010/12/27","10,859.62","-21.38","10,133.86","-21.16","10,021.69","-19.73"
"2010/12/24","10,881.00","-3.93","10,155.02","-7.01","10,041.42","-3.63"
"2010/12/23","10,884.93","-0.08","10,162.03","-1.18","10,045.05","-0.07"
"2010/12/22","10,885.01","24.27","10,163.21","21.66","10,045.12","22.40"
"2010/12/21","10,860.74","26.34","10,141.55","23.60","10,022.73","24.31"
"2010/12/20","10,834.40","6.24","10,117.95","4.71","9,998.42","5.76"
"2010/12/17","10,828.16","-4.30","10,113.24","-7.47","9,992.66","-3.97"
"2010/12/16","10,832.46","16.76","10,120.71","14.58","9,996.63","15.47"
"2010/12/15","10,815.70","-28.96","10,106.13","-28.32","9,981.17","-26.72"
"2010/12/14","10,844.66","2.42","10,134.45","1.13","10,007.89","2.24"
"2010/12/13","10,842.24","-34.87","10,133.32","-33.87","10,005.65","-32.18"
"2010/12/10","10,877.10","11.03","10,167.19","7.06","10,037.83","-120.62"
"2010/12/09","10,866.07","-0.51","10,160.13","-1.63","10,158.45","-0.48"
"2010/12/08","10,866.58","-29.72","10,161.76","-29.40","10,158.93","-27.78"
"2010/12/07","10,896.30","-4.21","10,191.16","-5.14","10,186.71","-3.93"
"2010/12/06","10,900.51","7.29","10,196.30","5.79","10,190.64","6.82"
"2010/12/03","10,893.22","14.42","10,190.51","10.28","10,183.83","13.48"
"2010/12/02","10,878.80","-0.06","10,180.23","-1.20","10,170.35","-0.06"
"2010/12/01","10,878.86","-2.06","10,181.43","-3.11","10,170.41","-1.93"
"2010/11/30","10,880.93","17.51","10,184.54","15.51","10,172.34","16.37"
"2010/11/29","10,863.42","24.42","10,169.03","22.07","10,155.97","22.83"
"2010/11/26","10,839.00","-3.89","10,146.96","-7.12","10,133.15","-3.64"
"2010/11/25","10,842.89","10.45","10,154.08","8.79","10,136.78","9.77"
"2010/11/24","10,832.44","17.91","10,145.29","15.89","10,127.01","16.75"
"2010/11/23","10,814.53","-9.62","10,129.40","-10.28","10,110.26","-8.99"
"2010/11/22","10,824.15","-12.92","10,139.68","-13.43","10,119.26","-12.07"
"2010/11/19","10,837.06","7.10","10,153.11","3.33","10,131.33","6.64"
"2010/11/18","10,829.96","4.70","10,149.78","3.33","10,124.69","4.39"
"2010/11/17","10,825.26","8.55","10,146.45","6.98","10,120.30","7.99"
"2010/11/16","10,816.72","35.54","10,139.47","32.65","10,112.31","33.22"
"2010/11/15","10,781.18","-8.46","10,106.82","-9.19","10,079.09","-7.91"
"2010/11/12","10,789.64","3.39","10,116.01","-0.19","10,087.00","3.17"
"2010/11/11","10,786.24","3.94","10,116.20","2.60","10,083.82","3.69"
"2010/11/10","10,782.30","18.55","10,113.60","16.50","10,080.14","17.35"
"2010/11/09","10,763.75","-0.98","10,097.10","-2.07","10,062.79","-0.92"
"2010/11/08","10,764.73","4.57","10,099.17","3.20","10,063.71","4.27"
"2010/11/05","10,760.16","-21.87","10,095.97","-24.22","10,059.44","-20.44"
"2010/11/04","10,782.03","-14.42","10,120.19","-14.85","10,079.88","-13.48"
"2010/11/03","10,796.45","-2.90","10,135.04","-3.90","10,093.36","-2.71"
"2010/11/02","10,799.35","-13.90","10,138.94","-14.35","10,096.08","-12.99"
"2010/11/01","10,813.25","-31.29","10,153.29","-30.89","10,109.07","-29.25"
"2010/10/29","10,844.54","-10.10","10,184.18","-13.03","10,138.32","-9.44"
"2010/10/28","10,854.64","27.09","10,197.21","24.62","10,147.76","25.33"
"2010/10/27","10,827.55","-18.68","10,172.59","-18.90","10,122.44","-17.46"
"2010/10/26","10,846.23","6.62","10,191.49","5.15","10,139.90","6.19"
"2010/10/25","10,839.60","-18.07","10,186.34","-18.32","10,133.71","-16.89"
"2010/10/22","10,857.67","13.99","10,204.66","9.88","10,150.60","13.08"
"2010/10/21","10,843.68","-8.84","10,194.78","-9.54","10,137.52","-8.26"
"2010/10/20","10,852.52","-20.92","10,204.32","-21.03","10,145.78","-19.55"
"2010/10/19","10,873.43","-41.50","10,225.35","-40.60","10,165.33","-38.80"
"2010/10/18","10,914.94","-8.68","10,265.95","-9.40","10,204.13","-8.12"
"2010/10/15","10,923.62","8.72","10,275.35","4.87","10,212.25","8.15"
"2010/10/14","10,914.90","60.35","10,270.48","56.23","10,204.10","56.42"
"2010/10/13","10,854.55","-7.33","10,214.25","-8.11","10,147.68","-6.85"
"2010/10/12","10,861.88","13.21","10,222.36","11.42","10,154.53","12.35"
"2010/10/11","10,848.67","-5.85","10,210.94","-6.70","10,142.18","-5.47"
"2010/10/08","10,854.52","11.59","10,217.64","7.59","10,147.65","10.83"
"2010/10/07","10,842.93","0.37","10,210.05","-0.79","10,136.82","0.35"
"2010/10/06","10,842.56","-7.90","10,210.84","-8.65","10,136.48","-7.39"
"2010/10/05","10,850.46","7.18","10,219.49","5.68","10,143.86","6.71"
"2010/10/04","10,843.29","-14.07","10,213.81","-14.52","10,137.15","-13.16"
"2010/10/01","10,857.36","28.42","10,228.33","23.60","10,150.31","26.57"
"2010/09/30","10,828.94","12.49","10,204.73","10.73","10,123.73","11.68"
"2010/09/29","10,816.45","11.19","10,194.00","9.50","10,112.06","10.47"
"2010/09/28","10,805.25","9.43","10,184.50","7.83","10,101.59","8.81"
"2010/09/27","10,795.82","14.55","10,176.67","12.69","10,092.78","13.60"
"2010/09/24","10,781.27","25.91","10,163.98","21.21","10,079.18","24.23"
"2010/09/20","10,755.36","-12.18","10,142.77","-16.15","10,054.95","-11.39"
"2010/09/17","10,767.54","-8.44","10,158.92","-11.51","10,066.34","-7.89"
"2010/09/16","10,775.98","13.99","10,170.43","12.14","10,074.22","13.08"
"2010/09/15","10,761.99","-11.60","10,158.29","-12.19","10,061.15","-10.84"
"2010/09/14","10,773.59","16.00","10,170.48","14.06","10,071.99","14.96"
"2010/09/13","10,757.58","-4.68","10,156.42","-5.61","10,057.03","-4.37"
"2010/09/10","10,762.26","-12.84","10,162.03","-15.79","10,061.40","-85.60"
"2010/09/09","10,775.10","64.33","10,177.82","60.47","10,147.00","60.58"
"2010/09/08","10,710.77","6.36","10,117.35","4.94","10,086.42","5.99"
"2010/09/07","10,704.41","22.08","10,112.41","20.00","10,080.43","20.80"
"2010/09/06","10,682.32","-21.83","10,092.41","-22.07","10,059.64","-20.56"
"2010/09/03","10,704.15","-3.24","10,114.48","-6.57","10,080.19","-3.05"
"2010/09/02","10,707.39","20.47","10,121.05","18.46","10,083.24","19.28"
"2010/09/01","10,686.92","-23.27","10,102.59","-23.45","10,063.96","-21.91"
"2010/08/31","10,710.18","7.82","10,126.04","6.34","10,085.87","7.36"
"2010/08/30","10,702.37","-3.10","10,119.70","-4.13","10,078.51","-2.92"
"2010/08/27","10,705.47","-0.22","10,123.83","-3.68","10,081.44","-0.21"
"2010/08/26","10,705.70","12.54","10,127.51","10.86","10,081.65","11.81"
"2010/08/25","10,693.15","3.80","10,116.65","2.48","10,069.83","3.58"
"2010/08/24","10,689.35","13.60","10,114.17","11.87","10,066.26","12.81"
"2010/08/23","10,675.75","-3.88","10,102.30","-4.87","10,053.45","-3.65"
"2010/08/20","10,679.63","27.91","10,107.17","23.27","10,057.10","26.28"
"2010/08/19","10,651.72","9.54","10,083.90","7.99","10,030.82","8.99"
"2010/08/18","10,642.18","17.64","10,075.91","15.74","10,021.83","16.61"
"2010/08/17","10,624.54","-1.37","10,060.17","-2.47","10,005.22","-1.29"
"2010/08/16","10,625.91","-2.34","10,062.64","-3.40","10,006.51","-2.21"
"2010/08/13","10,628.25","10.06","10,066.04","6.17","10,008.72","9.47"
"2010/08/12","10,618.19","18.52","10,059.87","16.58","9,999.24","17.44"
"2010/08/11","10,599.67","24.52","10,043.29","22.34","9,981.80","23.10"
"2010/08/10","10,575.15","8.13","10,020.95","6.63","9,958.71","7.66"
