년/월/일,총수익지수,전일대비,순가격지수,전일대비,시장가격지수,전일대비
"2018/12/28","14,028.91","-0.56","10,694.74","-3.47","10,604.90","-0.43"
"2018/12/27","14,029.47","-0.34","10,698.22","-0.87","10,605.33","-0.25"
"2018/12/26","14,029.81","13.14","10,699.08","9.44","10,605.58","9.93"
"2018/12/24","14,016.67","0.39","10,689.65","-0.92","10,595.65","0.30"
"2018/12/21","14,016.28","-18.54","10,690.56","-16.01","10,595.35","-14.02"
"2018/12/20","14,034.82","-6.03","10,706.57","-5.22","10,609.37","-4.56"
"2018/12/19","14,040.86","7.97","10,711.79","5.49","10,613.93","6.03"
"2018/12/18","14,032.88","8.92","10,706.30","6.21","10,607.91","6.74"
"2018/12/17","14,023.96","-0.75","10,700.09","-1.19","10,601.16","-0.56"
"2018/12/14","14,024.71","8.49","10,701.28","4.64","10,601.73","6.42"
"2018/12/13","14,016.21","-2.19","10,696.64","-2.30","10,595.30","-1.66"
"2018/12/12","14,018.41","-5.61","10,698.94","-4.91","10,596.96","-4.24"
"2018/12/11","14,024.02","2.17","10,703.85","1.04","10,601.20","1.64"
"2018/12/10","14,021.84","4.61","10,702.81","2.93","10,599.56","-66.35"
"2018/12/07","14,017.23","-1.60","10,699.88","-3.09","10,665.91","-1.22"
"2018/12/06","14,018.83","22.75","10,702.97","16.90","10,667.13","17.31"
"2018/12/05","13,996.08","15.08","10,686.07","10.99","10,649.81","11.47"
"2018/12/04","13,981.00","6.09","10,675.08","4.07","10,638.34","4.63"
"2018/12/03","13,974.91","-7.17","10,671.01","-6.14","10,633.70","-5.45"
"2018/11/30","13,982.08","-0.21","10,677.14","-2.01","10,639.16","-0.16"
"2018/11/29","13,982.29","11.02","10,679.16","7.87","10,639.32","8.39"
"2018/11/28","13,971.26","-3.65","10,671.29","-3.43","10,630.93","-2.77"
"2018/11/27","13,974.91","5.02","10,674.71","3.25","10,633.70","3.82"
"2018/11/26","13,969.89","-0.09","10,671.47","-0.69","10,629.88","-0.07"
"2018/11/23","13,969.98","13.43","10,672.15","8.49","10,629.95","10.22"
"2018/11/22","13,956.54","4.25","10,663.66","2.65","10,619.73","3.23"
"2018/11/21","13,952.30","-0.27","10,661.01","-0.83","10,616.50","-0.21"
"2018/11/20","13,952.57","-0.65","10,661.84","-1.12","10,616.70","-0.50"
"2018/11/19","13,953.22","5.55","10,662.96","3.66","10,617.20","4.22"
"2018/11/16","13,947.67","1.26","10,659.31","-0.88","10,612.98","0.96"
"2018/11/15","13,946.41","-7.11","10,660.19","-6.09","10,612.02","-5.41"
"2018/11/14","13,953.52","4.35","10,666.28","2.73","10,617.43","3.31"
"2018/11/13","13,949.17","1.30","10,663.55","0.38","10,614.12","0.99"
"2018/11/12","13,947.87","5.72","10,663.17","3.78","10,613.13","4.35"
"2018/11/09","13,942.15","7.71","10,659.38","4.08","10,608.77","5.86"
"2018/11/08","13,934.44","-1.24","10,655.30","-1.57","10,602.91","-0.94"
"2018/11/07","13,935.68","12.67","10,656.87","9.13","10,603.85","9.64"
"2018/11/06","13,923.01","-3.23","10,647.74","-3.11","10,594.21","-2.46"
"2018/11/05","13,926.25","3.72","10,650.85","2.25","10,596.67","2.83"
"2018/11/02","13,922.52","-12.82","10,648.60","-11.72","10,593.84","-9.75"
"2018/11/01","13,935.34","0.36","10,660.32","-0.34","10,603.60","0.28"
"2018/10/31","13,934.98","-5.68","10,660.66","-4.99","10,603.32","-4.33"
"2018/10/30","13,940.66","-21.38","10,665.66","-17.07","10,607.65","-16.26"
"2018/10/29","13,962.04","39.49","10,682.73","29.79","10,623.91","30.05"
"2018/10/26","13,922.55","7.30","10,652.95","3.76","10,593.86","5.55"
"2018/10/25","13,915.25","9.24","10,649.18","6.50","10,588.31","7.03"
"2018/10/24","13,906.01","-2.89","10,642.69","-2.84","10,581.28","-2.20"
"2018/10/23","13,908.90","9.35","10,645.53","6.58","10,583.48","7.12"
"2018/10/22","13,899.55","-9.25","10,638.95","-7.74","10,576.36","-7.04"
"2018/10/19","13,908.80","-0.69","10,646.69","-2.39","10,583.40","-0.53"
"2018/10/18","13,909.49","13.24","10,649.07","9.57","10,583.93","10.07"
"2018/10/17","13,896.25","17.03","10,639.50","12.50","10,573.85","12.96"
