년/월/일,총수익지수,전일대비,순가격지수,전일대비,시장가격지수,전일대비
"2009/12/30","10,141.17","3.35","9,861.11","-2.93","9,757.77","3.23"
"2009/12/29","10,137.81","-11.92","9,864.04","-12.93","9,754.54","-11.47"
"2009/12/28","10,149.73","-6.83","9,876.97","-7.93","9,766.01","-6.57"
"2009/12/24","10,156.56","-6.29","9,884.90","-11.13","9,772.58","-6.05"
"2009/12/23","10,162.85","10.36","9,896.03","8.90","9,778.63","9.96"
"2009/12/22","10,152.49","-32.97","9,887.13","-33.55","9,768.67","-31.73"
"2009/12/21","10,185.47","-3.04","9,920.68","-4.22","9,800.39","-2.93"
"2009/12/18","10,188.51","17.91","9,924.90","13.81","9,803.32","17.23"
"2009/12/17","10,170.60","-2.33","9,911.09","-3.53","9,786.09","-2.24"
"2009/12/16","10,172.93","-17.10","9,914.62","-18.00","9,788.33","-16.46"
"2009/12/15","10,190.04","24.70","9,932.62","22.95","9,804.79","23.76"
"2009/12/14","10,165.34","-0.61","9,909.67","-1.82","9,781.03","-0.59"
"2009/12/11","10,165.95","7.77","9,911.49","3.91","9,781.62","7.46"
"2009/12/10","10,158.18","-25.48","9,907.58","-26.54","9,774.15","-166.61"
"2009/12/09","10,183.66","7.21","9,934.12","5.95","9,940.77","7.04"
"2009/12/08","10,176.45","19.75","9,928.17","18.40","9,933.73","19.28"
"2009/12/07","10,156.70","-21.71","9,909.77","-22.79","9,914.45","-21.19"
"2009/12/04","10,178.40","-8.82","9,932.56","-12.42","9,935.64","-8.61"
"2009/12/03","10,187.23","2.92","9,944.98","1.68","9,944.25","2.85"
"2009/12/02","10,184.30","-21.16","9,943.30","-22.24","9,941.40","-20.65"
"2009/12/01","10,205.46","15.39","9,965.54","14.07","9,962.05","15.02"
"2009/11/30","10,190.07","-11.37","9,951.47","-12.52","9,947.03","-11.10"
"2009/11/27","10,201.44","41.98","9,963.99","38.04","9,958.13","40.98"
"2009/11/26","10,159.47","15.11","9,925.95","13.79","9,917.15","14.75"
"2009/11/25","10,144.36","10.98","9,912.16","9.68","9,902.40","10.72"
"2009/11/24","10,133.38","6.66","9,902.48","5.40","9,891.69","6.50"
"2009/11/23","10,126.72","-8.85","9,897.08","-10.01","9,885.19","-8.64"
"2009/11/20","10,135.57","2.59","9,907.09","-1.10","9,893.83","2.53"
"2009/11/19","10,132.98","13.60","9,908.19","12.30","9,891.30","13.28"
"2009/11/18","10,119.38","-9.46","9,895.89","-10.62","9,878.02","-9.23"
"2009/11/17","10,128.84","21.73","9,906.51","20.37","9,887.25","21.21"
"2009/11/16","10,107.11","-8.40","9,886.14","-9.57","9,866.04","-8.20"
"2009/11/13","10,115.51","11.40","9,895.71","7.67","9,874.24","11.13"
"2009/11/12","10,104.10","28.80","9,888.04","27.40","9,863.11","28.12"
"2009/11/11","10,075.30","9.94","9,860.64","8.65","9,834.99","9.70"
"2009/11/10","10,065.36","13.65","9,851.99","12.34","9,825.29","13.32"
"2009/11/09","10,051.71","-5.33","9,839.65","-6.51","9,811.96","-5.20"
"2009/11/06","10,057.03","0.82","9,846.16","-2.85","9,817.16","0.80"
"2009/11/05","10,056.21","7.37","9,849.01","6.10","9,816.36","7.20"
"2009/11/04","10,048.84","-10.79","9,842.91","-11.94","9,809.17","-10.53"
"2009/11/03","10,059.63","4.67","9,854.85","3.42","9,819.70","4.56"
"2009/11/02","10,054.97","3.21","9,851.43","1.96","9,815.14","3.13"
"2009/10/30","10,051.76","6.42","9,849.47","2.72","9,812.01","6.26"
"2009/10/29","10,045.34","13.47","9,846.75","12.15","9,805.75","13.15"
"2009/10/28","10,031.88","10.48","9,834.60","9.20","9,792.60","10.23"
"2009/10/27","10,021.39","23.27","9,825.40","21.90","9,782.37","22.72"
"2009/10/26","9,998.12","-8.25","9,803.50","-9.42","9,759.65","-8.05"
"2009/10/23","10,006.37","-10.40","9,812.92","-14.00","9,767.71","-10.15"
"2009/10/22","10,016.77","-8.58","9,826.92","-9.74","9,777.86","-8.37"
"2009/10/21","10,025.35","8.63","9,836.66","7.35","9,786.23","8.42"
"2009/10/20","10,016.72","-3.22","9,829.31","-4.41","9,777.81","-3.14"
"2009/10/19","10,019.94","1.54","9,833.72","0.30","9,780.95","1.50"
"2009/10/16","10,018.40","-27.03","9,833.42","-30.51","9,779.45","-26.38"
"2009/10/15","10,045.42","-11.40","9,863.93","-12.55","9,805.83","-11.13"
"2009/10/14","10,056.83","1.81","9,876.48","0.58","9,816.96","1.77"
"2009/10/13","10,055.01","8.92","9,875.90","7.64","9,815.19","8.71"
"2009/10/12","10,046.09","-15.10","9,868.26","-16.22","9,806.48","-14.74"
"2009/10/09","10,061.19","28.35","9,884.48","24.50","9,821.22","27.68"
"2009/10/08","10,032.84","-3.92","9,859.98","-5.11","9,793.55","-3.83"
"2009/10/07","10,036.76","3.07","9,865.09","1.83","9,797.38","3.00"
"2009/10/06","10,033.69","-26.04","9,863.26","-27.09","9,794.38","-25.42"
"2009/10/05","10,059.73","7.19","9,890.35","5.92","9,819.79","7.02"
"2009/10/01","10,052.54","14.06","9,884.43","9.08","9,812.78","13.72"
"2009/09/30","10,038.48","19.33","9,875.35","17.99","9,799.05","18.87"
"2009/09/29","10,019.15","-6.73","9,857.36","-7.91","9,780.18","-6.57"
"2009/09/28","10,025.88","-2.22","9,865.27","-3.43","9,786.75","-2.17"
"2009/09/25","10,028.10","8.29","9,868.70","4.57","9,788.92","8.09"
"2009/09/24","10,019.82","10.67","9,864.13","9.38","9,780.83","10.41"
"2009/09/23","10,009.15","6.54","9,854.75","5.28","9,770.42","6.39"
"2009/09/22","10,002.60","-12.81","9,849.47","-13.95","9,764.03","-12.51"
"2009/09/21","10,015.42","-18.61","9,863.42","-19.71","9,776.54","-18.16"
"2009/09/18","10,034.02","14.24","9,883.13","10.48","9,794.70","13.90"
"2009/09/17","10,019.79","2.46","9,872.65","1.23","9,780.81","2.40"
"2009/09/16","10,017.32","21.54","9,871.42","20.18","9,778.40","21.03"
"2009/09/15","9,995.78","9.78","9,851.24","8.49","9,757.37","9.55"
"2009/09/14","9,986.00","-0.57","9,842.75","-1.90","9,747.83","-0.55"
"2009/09/11","9,986.57","6.38","9,844.65","2.32","9,748.38","6.22"
"2009/09/10","9,980.19","-49.26","9,842.33","-50.73","9,742.16","-124.49"
"2009/09/09","10,029.45","10.01","9,893.06","8.70","9,866.65","9.85"
"2009/09/08","10,019.44","11.49","9,884.36","10.19","9,856.80","11.31"
"2009/09/07","10,007.95","-8.35","9,874.17","-9.71","9,845.49","-8.22"
"2009/09/04","10,016.30","4.31","9,883.88","0.32","9,853.71","4.24"
"2009/09/03","10,011.99","8.41","9,883.56","7.10","9,849.47","8.27"
"2009/09/02","10,003.57","21.75","9,876.46","20.46","9,841.19","21.40"
"2009/09/01","9,981.83","-2.51","9,856.00","-3.84","9,819.80","-2.47"
"2009/08/31","9,984.33","-6.29","9,859.84","-7.64","9,822.26","-6.18"
"2009/08/28","9,990.62","-11.12","9,867.48","-15.15","9,828.45","-10.94"
"2009/08/27","10,001.74","10.86","9,882.63","9.55","9,839.39","10.69"
"2009/08/26","9,990.88","-1.39","9,873.08","-2.73","9,828.70","-1.37"
"2009/08/25","9,992.27","14.59","9,875.81","13.29","9,830.07","14.35"
"2009/08/24","9,977.68","-15.98","9,862.52","-17.35","9,815.72","-15.72"
"2009/08/21","9,993.66","11.22","9,879.87","7.24","9,831.44","11.03"
"2009/08/20","9,982.44","-6.58","9,872.63","-7.93","9,820.40","-6.48"
"2009/08/19","9,989.03","33.36","9,880.56","32.11","9,826.88","32.82"
"2009/08/18","9,955.66","-11.16","9,848.45","-12.53","9,794.06","-10.98"
"2009/08/17","9,966.83","34.51","9,860.98","33.27","9,805.04","33.95"
"2009/08/14","9,932.31","-12.24","9,827.71","-16.28","9,771.09","-12.04"
"2009/08/13","9,944.56","-15.42","9,843.99","-16.80","9,783.13","-15.17"
"2009/08/12","9,959.98","-4.65","9,860.79","-5.99","9,798.30","-4.57"
"2009/08/11","9,964.62","14.95","9,866.78","13.65","9,802.87","14.70"
"2009/08/10","9,949.68","-10.12","9,853.13","-11.48","9,788.17","-9.96"
"2009/08/07","9,959.80","6.31","9,864.61","2.32","9,798.13","6.21"
"2009/08/06","9,953.49","-11.02","9,862.29","-12.38","9,791.92","-10.84"
"2009/08/05","9,964.51","-14.95","9,874.67","-16.32","9,802.76","-14.70"
"2009/08/04","9,979.45","3.60","9,890.99","2.27","9,817.46","3.54"
"2009/08/03","9,975.86","-27.30","9,888.72","-28.70","9,813.92","-26.86"
"2009/07/31","10,003.16","-24.47","9,917.42","-28.53","9,840.78","-24.07"
"2009/07/30","10,027.62","10.54","9,945.95","9.23","9,864.85","10.36"
"2009/07/29","10,017.09","-2.11","9,936.72","-3.46","9,854.49","-2.08"
"2009/07/28","10,019.20","4.62","9,940.18","3.30","9,856.56","4.55"
"2009/07/27","10,014.58","0.39","9,936.88","-0.94","9,852.01","0.38"
"2009/07/24","10,014.19","4.89","9,937.82","0.89","9,851.64","4.81"
"2009/07/23","10,009.30","14.15","9,936.93","12.85","9,846.83","13.92"
"2009/07/22","9,995.16","-14.41","9,924.08","-15.79","9,832.91","-14.18"
"2009/07/21","10,009.57","7.85","9,939.87","6.54","9,847.09","7.73"
"2009/07/20","10,001.72","-27.12","9,933.33","-28.52","9,839.36","-26.68"
"2009/07/17","10,028.83","-22.31","9,961.85","-26.37","9,866.04","-21.95"
"2009/07/16","10,051.14","-1.40","9,988.22","-2.73","9,887.99","-1.37"
"2009/07/15","10,052.54","-8.58","9,990.95","-9.94","9,889.36","-8.44"
"2009/07/14","10,061.12","0.71","10,000.89","-0.63","9,897.81","0.70"
"2009/07/13","10,060.42","-8.55","10,001.52","-9.90","9,897.11","-8.41"
"2009/07/10","10,068.97","27.21","10,011.42","23.27","9,905.52","26.77"
"2009/07/09","10,041.75","24.07","9,988.15","22.79","9,878.75","23.67"
"2009/07/08","10,017.69","19.35","9,965.36","18.07","9,855.08","19.04"
"2009/07/07","9,998.34","-14.39","9,947.29","-15.76","9,836.04","-14.16"
"2009/07/06","10,012.73","-5.10","9,963.05","-6.45","9,850.20","-5.02"
"2009/07/03","10,017.83","9.74","9,969.50","5.76","9,855.21","9.58"
"2009/07/02","10,008.09","6.98","9,963.74","5.66","9,845.63","6.86"
"2009/07/01","10,001.11","19.66","9,958.08","18.38","9,838.77","19.34"
"2009/06/30","9,981.45","-13.32","9,939.70","-14.69","9,819.43","-13.10"
"2009/06/29","9,994.77","16.17","9,954.39","14.88","9,832.53","15.91"
"2009/06/26","9,978.59","14.15","9,939.51","10.18","9,816.62","13.92"
"2009/06/25","9,964.44","-25.23","9,929.33","-26.63","9,802.70","-24.82"
"2009/06/24","9,989.68","12.86","9,955.96","11.56","9,827.52","12.65"
"2009/06/23","9,976.82","19.64","9,944.40","18.35","9,814.87","19.32"
"2009/06/22","9,957.18","-0.21","9,926.05","-1.54","9,795.55","-0.20"
"2009/06/19","9,957.39","5.87","9,927.59","1.88","9,795.76","5.77"
"2009/06/18","9,951.52","20.80","9,925.71","19.52","9,789.98","20.47"
"2009/06/17","9,930.72","6.73","9,906.19","5.40","9,769.52","6.62"
