년/월/일,총수익지수,전일대비,순가격지수,전일대비,시장가격지수,전일대비
"2019/12/30","14,417.86","7.99","10,776.62","4.52","10,687.11","5.92"
"2019/12/27","14,409.87","-0.53","10,772.10","-1.86","10,681.19","-0.39"
"2019/12/26","14,410.39","-1.18","10,773.96","-1.37","10,681.58","-0.88"
"2019/12/24","14,411.57","2.31","10,775.33","0.75","10,682.45","1.71"
"2019/12/23","14,409.27","4.65","10,774.58","3.00","10,680.74","3.45"
"2019/12/20","14,404.62","2.15","10,771.59","0.14","10,677.29","1.59"
"2019/12/19","14,402.47","-7.96","10,771.45","-6.46","10,675.70","-5.90"
"2019/12/18","14,410.43","1.64","10,777.90","0.74","10,681.60","1.22"
"2019/12/17","14,408.79","0.49","10,777.16","-0.12","10,680.39","0.36"
"2019/12/16","14,408.30","16.26","10,777.28","11.65","10,680.02","12.05"
"2019/12/13","14,392.04","-11.49","10,765.63","-10.22","10,667.97","-8.52"
"2019/12/12","14,403.53","2.59","10,775.85","1.41","10,676.49","1.92"
"2019/12/11","14,400.94","1.04","10,774.44","0.24","10,674.57","0.76"
"2019/12/10","14,399.90","-0.95","10,774.21","-1.25","10,673.81","-64.40"
"2019/12/09","14,400.85","12.69","10,775.46","9.03","10,738.21","9.47"
"2019/12/06","14,388.16","-3.31","10,766.43","-4.10","10,728.74","-2.47"
"2019/12/05","14,391.47","-3.64","10,770.53","-3.28","10,731.21","-2.71"
"2019/12/04","14,395.11","22.42","10,773.80","16.37","10,733.92","16.72"
"2019/12/03","14,372.69","-9.10","10,757.43","-7.39","10,717.20","-6.78"
"2019/12/02","14,381.78","-16.80","10,764.83","-13.20","10,723.99","-12.53"
"2019/11/29","14,398.59","14.12","10,778.03","9.04","10,736.51","10.53"
"2019/11/28","14,384.47","9.32","10,768.99","6.49","10,725.99","6.95"
"2019/11/27","14,375.14","10.71","10,762.50","7.54","10,719.04","7.98"
"2019/11/26","14,364.44","6.01","10,754.96","4.00","10,711.05","4.49"
"2019/11/25","14,358.42","-9.63","10,750.96","-7.79","10,706.57","-7.18"
"2019/11/22","14,368.05","1.83","10,758.75","-0.22","10,713.75","1.37"
"2019/11/21","14,366.22","-8.47","10,758.98","-6.92","10,712.38","-6.32"
"2019/11/20","14,374.69","17.40","10,765.90","12.59","10,718.70","12.98"
"2019/11/19","14,357.29","16.54","10,753.31","11.93","10,705.72","12.33"
"2019/11/18","14,340.75","6.56","10,741.38","4.41","10,693.39","4.90"
"2019/11/15","14,334.19","-2.29","10,736.97","-3.33","10,688.49","-1.71"
"2019/11/14","14,336.47","-2.05","10,740.30","-2.08","10,690.20","-1.53"
"2019/11/13","14,338.52","26.22","10,742.38","19.23","10,691.73","19.55"
"2019/11/12","14,312.30","-19.49","10,723.14","-15.23","10,672.18","-14.53"
