년/월/일,총수익지수,전일대비,순가격지수,전일대비,시장가격지수,전일대비
"2017/12/28","13,568.79","11.42","10,542.69","6.44","10,461.63","8.80"
"2017/12/27","13,557.37","-9.80","10,536.24","-8.12","10,452.83","-7.55"
"2017/12/26","13,567.17","-0.59","10,544.37","-0.95","10,460.38","-0.46"
"2017/12/22","13,567.76","-11.17","10,545.32","-10.67","10,460.84","-8.62"
"2017/12/21","13,578.93","-3.12","10,555.99","-2.92","10,469.45","-2.41"
"2017/12/20","13,582.05","6.10","10,558.91","4.26","10,471.86","4.71"
"2017/12/19","13,575.95","-5.78","10,554.64","-5.00","10,467.16","-4.46"
"2017/12/18","13,581.74","-7.22","10,559.64","-6.11","10,471.62","-5.57"
"2017/12/15","13,588.96","7.98","10,565.75","4.78","10,477.19","6.16"
"2017/12/14","13,580.98","-2.07","10,560.96","-2.09","10,471.03","-1.59"
"2017/12/13","13,583.04","2.61","10,563.05","1.56","10,472.62","2.01"
"2017/12/12","13,580.43","7.41","10,561.50","5.30","10,470.61","5.72"
"2017/12/11","13,573.02","-1.14","10,556.20","-1.37","10,464.89","-53.83"
"2017/12/08","13,574.16","3.84","10,557.57","1.57","10,518.73","2.98"
"2017/12/07","13,570.32","-1.11","10,555.99","-1.34","10,515.75","-0.86"
"2017/12/06","13,571.42","10.65","10,557.34","7.86","10,516.61","8.25"
"2017/12/05","13,560.78","-14.70","10,549.48","-11.98","10,508.36","-11.39"
"2017/12/04","13,575.48","-0.10","10,561.47","-0.55","10,519.75","-0.07"
"2017/12/01","13,575.57","0.89","10,562.02","-0.73","10,519.83","0.69"
"2017/11/30","13,574.68","15.00","10,562.75","11.27","10,519.13","11.63"
"2017/11/29","13,559.68","9.93","10,551.48","7.30","10,507.51","7.69"
"2017/11/28","13,549.75","7.56","10,544.18","5.44","10,499.81","5.86"
"2017/11/27","13,542.19","6.20","10,538.74","4.38","10,493.96","4.81"
"2017/11/24","13,535.99","-6.35","10,534.36","-6.40","10,489.15","-4.92"
"2017/11/23","13,542.33","12.26","10,540.76","9.12","10,494.07","9.50"
"2017/11/22","13,530.07","-1.10","10,531.64","-1.34","10,484.57","-0.86"
"2017/11/21","13,531.18","-1.11","10,532.98","-1.34","10,485.42","-0.86"
"2017/11/20","13,532.29","9.89","10,534.33","7.27","10,486.28","7.67"
"2017/11/17","13,522.39","7.67","10,527.06","4.57","10,478.62","5.94"
"2017/11/16","13,514.73","-6.31","10,522.49","-5.41","10,472.68","-4.89"
"2017/11/15","13,521.03","12.99","10,527.90","9.69","10,477.56","10.07"
"2017/11/14","13,508.04","-8.73","10,518.21","-7.31","10,467.50","-6.77"
"2017/11/13","13,516.78","-9.34","10,525.52","-7.79","10,474.26","-7.24"
"2017/11/10","13,526.12","-1.54","10,533.32","-2.64","10,481.50","-1.20"
"2017/11/09","13,527.66","2.20","10,535.96","1.25","10,482.70","1.71"
"2017/11/08","13,525.46","-1.81","10,534.71","-1.89","10,480.99","-1.40"
"2017/11/07","13,527.27","12.97","10,536.60","9.68","10,482.39","10.05"
"2017/11/06","13,514.29","-4.58","10,526.92","-4.06","10,472.34","-3.55"
"2017/11/03","13,518.87","-7.81","10,530.98","-7.55","10,475.89","-6.05"
"2017/11/02","13,526.68","8.54","10,538.53","6.21","10,481.94","6.62"
"2017/11/01","13,518.14","14.29","10,532.32","10.71","10,475.32","11.07"
"2017/10/31","13,503.86","-8.38","10,521.61","-7.04","10,464.25","-6.50"
"2017/10/30","13,512.24","5.78","10,528.65","4.05","10,470.75","4.48"
"2017/10/27","13,506.47","11.58","10,524.61","7.64","10,466.27","8.97"
"2017/10/26","13,494.89","-30.35","10,516.97","-24.24","10,457.30","-23.51"
"2017/10/25","13,525.23","-15.48","10,541.21","-12.60","10,480.82","-12.00"
"2017/10/24","13,540.71","-18.80","10,553.81","-15.20","10,492.81","-14.57"
"2017/10/23","13,559.51","24.99","10,569.01","19.09","10,507.38","19.36"
"2017/10/20","13,534.52","-32.13","10,549.92","-26.59","10,488.02","-24.90"
"2017/10/19","13,566.65","-29.20","10,576.51","-23.34","10,512.91","-22.62"
"2017/10/18","13,595.85","5.56","10,599.84","3.88","10,535.54","4.31"
"2017/10/17","13,590.29","-4.20","10,595.97","-3.77","10,531.23","-3.26"
"2017/10/16","13,594.49","-6.82","10,599.74","-5.81","10,534.49","-5.28"
"2017/10/13","13,601.31","-3.85","10,605.55","-4.45","10,539.77","-2.99"
"2017/10/12","13,605.16","13.28","10,610.00","9.92","10,542.75","10.29"
"2017/10/11","13,591.89","7.73","10,600.08","5.57","10,532.47","5.99"
"2017/10/10","13,584.16","-20.85","10,594.51","-16.80","10,526.48","-16.16"
