년/월/일,총수익지수,전일대비,순가격지수,전일대비,시장가격지수,전일대비
"2016/12/29","13,506.95","5.46","10,657.25","2.49","10,572.33","4.27"
"2016/12/28","13,501.50","7.56","10,654.75","5.52","10,568.06","5.92"
"2016/12/27","13,493.93","-0.94","10,649.23","-1.20","10,562.14","-0.73"
"2016/12/26","13,494.87","-0.48","10,650.43","-0.83","10,562.88","-0.37"
"2016/12/23","13,495.35","-6.47","10,651.26","-6.48","10,563.25","-5.07"
"2016/12/22","13,501.82","13.66","10,657.74","10.35","10,568.32","10.69"
"2016/12/21","13,488.16","19.66","10,647.40","15.09","10,557.63","15.39"
"2016/12/20","13,468.50","-6.26","10,632.30","-5.40","10,542.23","-4.90"
"2016/12/19","13,474.75","-5.43","10,637.71","-4.81","10,547.13","-4.25"
"2016/12/16","13,480.19","8.06","10,642.52","4.84","10,551.38","6.31"
"2016/12/15","13,472.13","-18.19","10,637.68","-14.90","10,545.08","-14.24"
"2016/12/14","13,490.32","14.21","10,652.58","10.73","10,559.31","11.12"
"2016/12/13","13,476.10","24.97","10,641.85","19.24","10,548.19","19.54"
"2016/12/12","13,451.14","-1.06","10,622.61","-1.35","10,528.65","-0.82"
"2016/12/09","13,452.20","-9.48","10,623.95","-8.76","10,529.47","-64.45"
"2016/12/08","13,461.68","11.88","10,632.72","8.62","10,593.92","9.35"
"2016/12/07","13,449.81","6.33","10,624.10","4.52","10,584.57","4.98"
"2016/12/06","13,443.48","-6.53","10,619.58","-5.70","10,579.59","-5.14"
"2016/12/05","13,450.01","19.44","10,625.28","14.95","10,584.73","15.30"
"2016/12/02","13,430.57","-13.97","10,610.33","-12.64","10,569.43","-10.99"
"2016/12/01","13,444.54","-1.73","10,622.97","-1.89","10,580.42","-1.37"
"2016/11/30","13,446.27","-1.01","10,624.86","-1.31","10,581.79","-0.79"
"2016/11/29","13,447.28","10.07","10,626.17","7.50","10,582.58","7.92"
"2016/11/28","13,437.22","24.65","10,618.68","19.10","10,574.66","19.40"
"2016/11/25","13,412.56","0.61","10,599.58","-1.05","10,555.26","0.48"
"2016/11/24","13,411.95","-26.40","10,600.62","-21.51","10,554.78","-20.77"
"2016/11/23","13,438.35","0.58","10,622.13","-0.05","10,575.55","0.46"
"2016/11/22","13,437.76","-5.08","10,622.18","-4.55","10,575.09","-4.00"
"2016/11/21","13,442.85","-1.54","10,626.73","-1.74","10,579.09","-1.22"
"2016/11/18","13,444.39","-20.23","10,628.47","-17.63","10,580.31","-15.92"
"2016/11/17","13,464.62","27.55","10,646.09","21.40","10,596.23","21.68"
"2016/11/16","13,437.07","-38.48","10,624.69","-31.12","10,574.55","-30.28"
"2016/11/15","13,475.56","4.29","10,655.81","2.90","10,604.83","3.37"
"2016/11/14","13,471.27","-52.41","10,652.91","-42.20","10,601.46","-41.25"
"2016/11/11","13,523.68","-22.01","10,695.11","-19.04","10,642.71","-17.32"
"2016/11/10","13,545.69","-39.88","10,714.15","-32.23","10,660.03","-31.38"
"2016/11/09","13,585.57","17.68","10,746.38","13.55","10,691.41","13.91"
"2016/11/08","13,567.89","4.85","10,732.83","3.35","10,677.49","3.82"
"2016/11/07","13,563.03","2.51","10,729.48","1.49","10,673.68","1.98"
"2016/11/04","13,560.52","-3.65","10,727.99","-4.43","10,671.70","-2.87"
"2016/11/03","13,564.17","-0.48","10,732.42","-0.90","10,674.57","-0.38"
"2016/11/02","13,564.65","11.37","10,733.32","8.53","10,674.95","8.94"
"2016/11/01","13,553.29","-9.73","10,724.79","-8.25","10,666.01","-7.66"
"2016/10/31","13,563.02","12.81","10,733.04","9.68","10,673.66","10.08"
"2016/10/28","13,550.20","-17.17","10,723.36","-15.19","10,663.58","-13.51"
"2016/10/27","13,567.37","2.81","10,738.55","1.72","10,677.09","2.21"
"2016/10/26","13,564.57","-7.62","10,736.82","-6.57","10,674.88","-5.99"
"2016/10/25","13,572.18","-9.44","10,743.39","-8.02","10,680.87","-7.43"
"2016/10/24","13,581.62","4.54","10,751.41","3.10","10,688.30","3.57"
"2016/10/21","13,577.08","-9.59","10,748.31","-9.16","10,684.73","-7.55"
"2016/10/20","13,586.67","-0.42","10,757.47","-0.84","10,692.28","-0.33"
"2016/10/19","13,587.09","-0.06","10,758.31","-0.56","10,692.61","-0.05"
"2016/10/18","13,587.15","3.59","10,758.87","2.34","10,692.66","2.82"
"2016/10/17","13,583.56","-18.01","10,756.53","-14.83","10,689.83","-14.17"
"2016/10/14","13,601.57","-0.40","10,771.36","-1.85","10,704.00","-0.31"
"2016/10/13","13,601.97","11.94","10,773.21","8.99","10,704.31","9.40"
"2016/10/12","13,590.02","11.19","10,764.22","8.39","10,694.91","8.81"
"2016/10/11","13,578.83","-10.46","10,755.83","-8.83","10,686.11","-8.23"
"2016/10/10","13,589.29","-9.63","10,764.66","-8.17","10,694.34","-7.58"
"2016/10/07","13,598.91","3.55","10,772.83","1.29","10,701.91","2.79"
"2016/10/06","13,595.36","-2.50","10,771.53","-2.50","10,699.12","-1.97"
"2016/10/05","13,597.86","-16.87","10,774.03","-13.93","10,701.09","-13.28"
"2016/10/04","13,614.74","-11.08","10,787.96","-9.32","10,714.36","-8.72"
"2016/09/30","13,625.81","15.55","10,797.29","10.33","10,723.08","12.24"
"2016/09/29","13,610.26","9.17","10,786.96","6.79","10,710.84","7.22"
"2016/09/28","13,601.09","3.52","10,780.17","2.29","10,703.63","2.77"
"2016/09/27","13,597.57","-1.94","10,777.89","-2.05","10,700.86","-1.52"
"2016/09/26","13,599.51","-2.78","10,779.94","-2.72","10,702.38","-2.19"
"2016/09/23","13,602.29","-1.79","10,782.66","-2.96","10,704.57","-1.41"
"2016/09/22","13,604.08","17.86","10,785.62","13.70","10,705.98","14.06"
"2016/09/21","13,586.22","3.04","10,771.92","1.91","10,691.92","2.39"
"2016/09/20","13,583.18","7.92","10,770.01","5.79","10,689.53","6.23"
"2016/09/19","13,575.26","-1.82","10,764.22","-1.97","10,683.30","-1.43"
"2016/09/13","13,577.08","2.10","10,766.19","-1.46","10,684.73","1.65"
"2016/09/12","13,574.98","-11.83","10,767.65","-9.93","10,683.07","-9.31"
"2016/09/09","13,586.81","-15.85","10,777.59","-14.02","10,692.38","-47.57"
"2016/09/08","13,602.66","-4.23","10,791.61","-4.09","10,739.96","-3.34"
"2016/09/07","13,606.88","11.39","10,795.69","8.57","10,743.29","9.00"
"2016/09/06","13,595.49","2.36","10,787.12","1.36","10,734.30","1.86"
"2016/09/05","13,593.13","7.68","10,785.76","5.61","10,732.44","6.06"
"2016/09/02","13,585.46","3.75","10,780.15","1.44","10,726.38","2.96"
"2016/09/01","13,581.70","-6.11","10,778.71","-5.39","10,723.41","-4.82"
"2016/08/31","13,587.81","-9.88","10,784.11","-8.41","10,728.24","-7.80"
"2016/08/30","13,597.69","-6.75","10,792.51","-5.90","10,736.04","-5.33"
"2016/08/29","13,604.44","-11.92","10,798.42","-10.03","10,741.36","-9.41"
"2016/08/26","13,616.36","-0.99","10,808.45","-2.35","10,750.78","-0.78"
"2016/08/25","13,617.35","-0.43","10,810.80","-0.86","10,751.56","-0.34"
"2016/08/24","13,617.79","-2.27","10,811.67","-2.33","10,751.90","-1.79"
"2016/08/23","13,620.05","2.80","10,813.99","1.71","10,753.69","2.21"
